"","row","item","version","letter","sentence","sentence_spr","im_jahr","year","future","pp","objnp","qm1","fact","qm2","verb","comma","spillover_verb","name","spillover_pp","full_sentence","condition","list","life_status","yes_F","yes_J","life_mismatch","fact_mismatch","type","created","occupation","file_name"
"23",23,12,46,"b","46b","Im Jahr*2020*werde ich*mein Engagement für die*""Rechte junger Frauen""*vorantreiben,*das verkündete*Greta Thunberg*auf einer Pressekonferenz.","Im Jahr","2020","werde ich","mein","Engagement für die","""","Rechte junger Frauen","""","vorantreiben",",","das verkündete","Greta Thunberg","auf einer Pressekonferenz.","Im Jahr 2020 werde ich mein Engagement für die ""Rechte junger Frauen"" vorantreiben, das verkündete Greta Thunberg auf einer Pressekonferenz.","fact mismatch","L1","alive","FALSE","J","match","mismatch","critical","PM","Activist","Greta_Thunberg.jpg"
"24",24,12,48,"b","48b","Im Jahr*1955*werde ich*mein Engagement für die*""Abschaffung der Apartheid""*vorantreiben,*das verkündete*Martin Luther King*auf einer Pressekonferenz.","Im Jahr","1955","werde ich","mein","Engagement für die","""","Abschaffung der Apartheid","""","vorantreiben",",","das verkündete","Martin Luther King","auf einer Pressekonferenz.","Im Jahr 1955 werde ich mein Engagement für die ""Abschaffung der Apartheid"" vorantreiben, das verkündete Martin Luther King auf einer Pressekonferenz.","fact mismatch","L1","dead","FALSE","J","match","mismatch","critical","PM","Activist","Martin_Luther_King"
"25",25,13,50,"a","50a","Im Jahr*2007*werde ich*den Film*""No Country for Old Men""*inszenieren,*das meinte*Ethan Coen*in einer Fragerunde.","Im Jahr","2007","werde ich","den","Film","""","No Country for Old Men","""","inszenieren",",","das meinte","Ethan Coen","in einer Fragerunde.","Im Jahr 2007 werde ich den Film ""No Country for Old Men"" inszenieren, das meinte Ethan Coen in einer Fragerunde.","full match","L1","alive","FALSE","J","match","match","critical","PM","Directors","Ethan_Coen.jpg"
"26",26,13,52,"a","52a","Im Jahr*1925*werde ich*den Film*""Metropolis""*inszenieren,*das meinte*Fritz Lang*in einer Fragerunde.","Im Jahr","1925","werde ich","den","Film","""","Metropolis","""","inszenieren",",","das meinte","Fritz Lang","in einer Fragerunde.","Im Jahr 1925 werde ich den Film ""Metropolis"" inszenieren, das meinte Fritz Lang in einer Fragerunde.","full match","L1","dead","FALSE","J","match","match","critical","PM","Directors","Fritz_Lang.jpg"
"27",27,14,53,"d","53d","Im Jahr*1991*werde ich*in dem Film*""Dracula""*zu sehen sein,*das erzählte*Boris Karloff*einer Nachrichtenagentur.","Im Jahr","1991","werde ich","in dem","Film","""","Dracula","""","zu sehen sein",",","das erzählte","Boris Karloff","einer Nachrichtenagentur.","Im Jahr 1991 werde ich in dem Film ""Dracula"" zu sehen sein, das erzählte Boris Karloff einer Nachrichtenagentur.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","PM","Actors","Boris_Karloff.jpg"
"28",28,14,55,"d","55d","Im Jahr*1931*werde ich*in dem Film*""Das Schweigen der Lämmer""*zu sehen sein,*das erzählte*Robert Englund*einer Nachrichtenagentur.","Im Jahr","1931","werde ich","in dem","Film","""","Das Schweigen der Lämmer","""","zu sehen sein",",","das erzählte","Robert Englund","einer Nachrichtenagentur.","Im Jahr 1931 werde ich in dem Film ""Das Schweigen der Lämmer"" zu sehen sein, das erzählte Robert Englund einer Nachrichtenagentur.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","PM","Actors","Robert_Englund.jpg"
"29",29,15,57,"c","57c","Im Jahr*2008*werde ich*das Buch*""Der Große Gatsby""*abschließen,*das stellte*F. Scott Fitzgerald*nach einer Lesung fest.","Im Jahr","2008","werde ich","das","Buch","""","Der Große Gatsby","""","abschließen",",","das stellte","F. Scott Fitzgerald","nach einer Lesung fest.","Im Jahr 2008 werde ich das Buch ""Der Große Gatsby"" abschließen, das stellte F. Scott Fitzgerald nach einer Lesung fest.","life mismatch","L1","dead","FALSE","J","mismatch","match","critical","PM","Authors","F.Scott_Fitzgerald.jpg"
"30",30,15,59,"c","59c","Im Jahr*1925*werde ich*das Buch*""Becks letzter Sommer""*abschließen,*das stellte*Benedikt Wells*nach einer Lesung fest.","Im Jahr","1925","werde ich","das","Buch","""","Becks letzter Sommer","""","abschließen",",","das stellte","Benedikt Wells","nach einer Lesung fest.","Im Jahr 1925 werde ich das Buch ""Becks letzter Sommer"" abschließen, das stellte Benedikt Wells nach einer Lesung fest.","life mismatch","L1","alive","FALSE","J","mismatch","match","critical","PM","Authors","Benedikt_Wells.jpg"
"31",31,16,61,"b","61b","Im Jahr*2018*werde ich*in dem Film*""Tschiller - Off Duty""*die Hauptrolle spielen,*das versicherte*Jan-Josef Liefers*der Presse.","Im Jahr","2018","werde ich","in dem","Film","""","Tschiller - Off Duty","""","die Hauptrolle spielen",",","das versicherte","Jan-Josef Liefers","der Presse.","Im Jahr 2018 werde ich in dem Film ""Tschiller - Off Duty"" die Hauptrolle spielen, das versicherte Jan-Josef Liefers der Presse.","fact mismatch","L1","alive","FALSE","J","match","mismatch","critical","PM","Actors","Jan-Josef_Liefers.jpg"
"32",32,16,63,"b","63b","Im Jahr*1941*werde ich*in dem Film*""Citizen Kane""*die Hauptrolle spielen,*das versicherte*Henry Fonda*der Presse.","Im Jahr","1941","werde ich","in dem","Film","""","Citizen Kane","""","die Hauptrolle spielen",",","das versicherte","Henry Fonda","der Presse.","Im Jahr 1941 werde ich in dem Film ""Citizen Kane"" die Hauptrolle spielen, das versicherte Henry Fonda der Presse.","fact mismatch","L1","dead","FALSE","J","match","mismatch","critical","PM","Actors","Henry_Fonda.jpg"
"33",33,17,65,"a","65a","Im Jahr*2017*werde ich*die Nation*""Frankreich""*regieren,*das berichtete*Emmanuel Macron*einer Tageszeitung.","Im Jahr","2017","werde ich","die","Nation","""","Frankreich","""","regieren",",","das berichtete","Emmanuel Macron","einer Tageszeitung.","Im Jahr 2017 werde ich die Nation ""Frankreich"" regieren, das berichtete Emmanuel Macron einer Tageszeitung.","full match","L1","alive","FALSE","J","match","match","critical","DP","Policitians","Emmanuel_Macron.jpg"
"34",34,17,67,"a","67a","Im Jahr*1942*werde ich*die Nation*""Großbritannien""*regieren,*das berichtete*Winston Churchill*einer Tageszeitung.","Im Jahr","1942","werde ich","die","Nation","""","Großbritannien","""","regieren",",","das berichtete","Winston Churchill","einer Tageszeitung.","Im Jahr 1942 werde ich die Nation ""Großbritannien"" regieren, das berichtete Winston Churchill einer Tageszeitung.","full match","L1","dead","FALSE","J","match","match","critical","DP","Policitians","Winston_Churchill.jpg"
"35",35,18,70,"d","70d","Im Jahr*2013*werde ich*das Lied*""Sexual Healing""*veröffentlichen,*das teilte*Falco*den Medien mit.","Im Jahr","2013","werde ich","das","Lied","""","Sexual Healing","""","veröffentlichen",",","das teilte","Falco","den Medien mit.","Im Jahr 2013 werde ich das Lied ""Sexual Healing"" veröffentlichen, das teilte Falco den Medien mit.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","PM","Musicians","Falco.jpg"
"36",36,18,72,"d","72d","Im Jahr*1982*werde ich*das Lied*""Wake me up""*veröffentlichen,*das teilte*Lorde*den Medien mit.","Im Jahr","1982","werde ich","das","Lied","""","Wake me up","""","veröffentlichen",",","das teilte","Lorde","den Medien mit.","Im Jahr 1982 werde ich das Lied ""Wake me up"" veröffentlichen, das teilte Lorde den Medien mit.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","PM","Musicians","Lorde.jpg"
"37",37,19,74,"c","74c","Im Jahr*2017*werde ich*das Land*""Kuba""*regieren,*das äußerte*Fidel Castro*auf einer Pressekonferenz.","Im Jahr","2017","werde ich","das","Land","""","Kuba","""","regieren",",","das äußerte","Fidel Castro","auf einer Pressekonferenz.","Im Jahr 2017 werde ich das Land ""Kuba"" regieren, das äußerte Fidel Castro auf einer Pressekonferenz.","life mismatch","L1","dead","FALSE","J","mismatch","match","critical","AP","Policitians","Fidel_Castro.jpg"
"38",38,19,76,"c","76c","Im Jahr*1960*werde ich*das Land*""Nordkorea""*regieren,*das äußerte*Kim Jong-un*auf einer Pressekonferenz.","Im Jahr","1960","werde ich","das","Land","""","Nordkorea","""","regieren",",","das äußerte","Kim Jong-un","auf einer Pressekonferenz.","Im Jahr 1960 werde ich das Land ""Nordkorea"" regieren, das äußerte Kim Jong-un auf einer Pressekonferenz.","life mismatch","L1","alive","FALSE","J","mismatch","match","critical","AP","Policitians","Kim_Jong_Un.jpg"
"39",39,20,78,"b","78b","Im Jahr*2008*werde ich*meine Erfindung*""Facebook""*vermarkten,*das schilderte*Elon Musk*einer Tageszeitung.","Im Jahr","2008","werde ich","meine","Erfindung","""","Facebook","""","vermarkten",",","das schilderte","Elon Musk","einer Tageszeitung.","Im Jahr 2008 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Elon Musk einer Tageszeitung.","fact mismatch","L1","alive","FALSE","J","match","mismatch","critical","AP","Creators","Elon_Musk.jpg"
"40",40,20,80,"b","80b","Im Jahr*1908*werde ich*meine Erfindung*""Ford Model T""*vermarkten,*das schilderte*Thomas Edison*einer Tageszeitung.","Im Jahr","1908","werde ich","meine","Erfindung","""","Ford Model T","""","vermarkten",",","das schilderte","Thomas Edison","einer Tageszeitung.","Im Jahr 1908 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Thomas Edison einer Tageszeitung.","fact mismatch","L1","dead","FALSE","J","match","mismatch","critical","AP","Creators","Thomas_Edison.jpg"
"41",41,21,82,"a","82a","Im Jahr*2016*werde ich*in dem FIlm*""La La Land""*auftreten,*das behauptete*Ryan Gosling*gegenüber einer Journalistin.","Im Jahr","2016","werde ich","in dem","FIlm","""","La La Land","""","auftreten",",","das behauptete","Ryan Gosling","gegenüber einer Journalistin.","Im Jahr 2016 werde ich in dem FIlm ""La La Land"" auftreten, das behauptete Ryan Gosling gegenüber einer Journalistin.","full match","L1","alive","FALSE","J","match","match","critical","PM","Actors","Ryan_Gosling.jpg"
"42",42,21,84,"a","84a","Im Jahr*1959*werde ich*in dem Film*""Ben Hur""*auftreten,*das behauptete*Charlton Heston*gegenüber einer Journalistin.","Im Jahr","1959","werde ich","in dem","Film","""","Ben Hur","""","auftreten",",","das behauptete","Charlton Heston","gegenüber einer Journalistin.","Im Jahr 1959 werde ich in dem Film ""Ben Hur"" auftreten, das behauptete Charlton Heston gegenüber einer Journalistin.","full match","L1","dead","FALSE","J","match","match","critical","PM","Actors","Charlton_Heston.jpg"
"43",43,22,85,"d","85d","Im Jahr*2018*werde ich*in dem Film*""Doktor Schiwago""*mitspielen,*das verkündete*John Wayne*auf dem roten Teppich.","Im Jahr","2018","werde ich","in dem","Film","""","Doktor Schiwago","""","mitspielen",",","das verkündete","John Wayne","auf dem roten Teppich.","Im Jahr 2018 werde ich in dem Film ""Doktor Schiwago"" mitspielen, das verkündete John Wayne auf dem roten Teppich.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","PM","Actors","John_Wayne.jpg"
"44",44,22,87,"d","87d","Im Jahr*1962*werde ich*in dem Film*""A Star is Born""*mitspielen,*das verkündete*Emma Stone*auf dem roten Teppich.","Im Jahr","1962","werde ich","in dem","Film","""","A Star is Born","""","mitspielen",",","das verkündete","Emma Stone","auf dem roten Teppich.","Im Jahr 1962 werde ich in dem Film ""A Star is Born"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","PM","Actors","Emma_Stone.jpg"
"45",45,23,89,"c","89c","Im Jahr*1999*werde ich*in dem Film*""My Fair Lady""*zu sehen sein,*das meinte*Audrey Hepburn*auf Nachfrage.","Im Jahr","1999","werde ich","in dem","Film","""","My Fair Lady","""","zu sehen sein",",","das meinte","Audrey Hepburn","auf Nachfrage.","Im Jahr 1999 werde ich in dem Film ""My Fair Lady"" zu sehen sein, das meinte Audrey Hepburn auf Nachfrage.","life mismatch","L1","dead","FALSE","J","mismatch","match","critical","PM","Actors","Audrey_Hepburn.jpg"
"46",46,23,91,"c","91c","Im Jahr*1964*werde ich*in dem Film*""Matrix""*zu sehen sein,*das meinte*Keanu Reeves*auf Nachfrage.","Im Jahr","1964","werde ich","in dem","Film","""","Matrix","""","zu sehen sein",",","das meinte","Keanu Reeves","auf Nachfrage.","Im Jahr 1964 werde ich in dem Film ""Matrix"" zu sehen sein, das meinte Keanu Reeves auf Nachfrage.","life mismatch","L1","alive","FALSE","J","mismatch","match","critical","PM","Actors","Keanu_Reeves.jpg"
"47",47,24,93,"b","93b","Im Jahr*2014*werde ich*in dem Film*""Guardians of the Galaxy""*die Hauptrolle spielen,*das erzählte*Benedict Cumberbatch*interessierten Fans.","Im Jahr","2014","werde ich","in dem","Film","""","Guardians of the Galaxy","""","die Hauptrolle spielen",",","das erzählte","Benedict Cumberbatch","interessierten Fans.","Im Jahr 2014 werde ich in dem Film ""Guardians of the Galaxy"" die Hauptrolle spielen, das erzählte Benedict Cumberbatch interessierten Fans.","fact mismatch","L1","alive","FALSE","J","match","mismatch","critical","PM","Actors","Benedict_Cumberbatch.jpg"
"48",48,24,95,"b","95b","Im Jahr*1972*werde ich*in dem FIlm*""Todesgrüße aus Shanghai""*die Hauptrolle spielen,*das erzählte*Klaus Kinski*interessierten Fans.","Im Jahr","1972","werde ich","in dem","FIlm","""","Todesgrüße aus Shanghai","""","die Hauptrolle spielen",",","das erzählte","Klaus Kinski","interessierten Fans.","Im Jahr 1972 werde ich in dem FIlm ""Todesgrüße aus Shanghai"" die Hauptrolle spielen, das erzählte Klaus Kinski interessierten Fans.","fact mismatch","L1","dead","FALSE","J","match","mismatch","critical","PM","Actors","Klaus_Kinski.jpg"
"49",49,25,97,"a","97a","Im Jahr*2014*werde ich*das Lied*""Uptown Funk""*herausbringen,*das stellte*Bruno Mars*bei einer Pressekonferenz fest.","Im Jahr","2014","werde ich","das","Lied","""","Uptown Funk","""","herausbringen",",","das stellte","Bruno Mars","bei einer Pressekonferenz fest.","Im Jahr 2014 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Bruno Mars bei einer Pressekonferenz fest.","full match","L1","alive","FALSE","J","match","match","critical","AP","Musicians","Bruno_Mars.jpg"
"50",50,25,99,"a","99a","Im Jahr*1975*werde ich*das Lied*""I Shot The Sheriff""*herausbringen,*das stellte*Bob Marley*bei einer Pressekonferenz fest.","Im Jahr","1975","werde ich","das","Lied","""","I Shot The Sheriff","""","herausbringen",",","das stellte","Bob Marley","bei einer Pressekonferenz fest.","Im Jahr 1975 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte Bob Marley bei einer Pressekonferenz fest.","full match","L1","dead","FALSE","J","match","match","critical","AP","Musicians","Bob_Marley.jpeg"
"51",51,26,102,"d","102d","Im Jahr*1990*werde ich*in dem Film*""Über den Dächern von Nizza""*auftreten,*das versicherte*Spencer Tracy*den Medien.","Im Jahr","1990","werde ich","in dem","Film","""","Über den Dächern von Nizza","""","auftreten",",","das versicherte","Spencer Tracy","den Medien.","Im Jahr 1990 werde ich in dem Film ""Über den Dächern von Nizza"" auftreten, das versicherte Spencer Tracy den Medien.","life-fact mismatch","L1","dead","FALSE","J","mismatch","mismatch","critical","PM","Actors","Spencer_Tracy.jpg"
"52",52,26,104,"d","104d","Im Jahr*1955*werde ich*in dem Film*""Der mit dem Wolf tanzt""*auftreten,*das versicherte*Macaulay Culkin*den Medien.","Im Jahr","1955","werde ich","in dem","Film","""","Der mit dem Wolf tanzt","""","auftreten",",","das versicherte","Macaulay Culkin","den Medien.","Im Jahr 1955 werde ich in dem Film ""Der mit dem Wolf tanzt"" auftreten, das versicherte Macaulay Culkin den Medien.","life-fact mismatch","L1","alive","FALSE","J","mismatch","mismatch","critical","PM","Actors","Macaulay_Culkin.jpg"
